VentaID,Fecha,Cliente,Producto,Categoria,Cantidad,PrecioUnitario,Total,Region,Vendedor
1001,2026-04-30,"Grupo Sureste SA","Silla Ergonomica",Mobiliario,1,560.00,560.00,Arequipa,"Ana Flores"
1002,2026-05-01,"Grupo Sureste SA","Proyector HD",Tecnologia,4,2400.00,9600.00,Piura,"Lucia Mendoza"
1003,2026-05-02,"Corporacion Altiplano","Archivador Metalico",Mobiliario,7,320.00,2240.00,Trujillo,"Lucia Mendoza"
1004,2026-05-04,"Inversiones Costa Azul","Silla Ergonomica",Mobiliario,4,560.00,2240.00,Chiclayo,"Ana Flores"
1005,2026-05-05,"Inversiones Costa Azul","Router WiFi6",Tecnologia,7,260.00,1820.00,Arequipa,"Carlos Vega"
1006,2026-05-07,"Constructora Los Andes","Camara Web HD",Tecnologia,2,130.00,260.00,Piura,"Ana Flores"
1007,2026-05-08,"Distribuidora Norte EIRL","Proyector HD",Tecnologia,2,2400.00,4800.00,Trujillo,"Lucia Mendoza"
1008,2026-05-09,"Corporacion Altiplano","Camara Web HD",Tecnologia,6,130.00,780.00,Lima,"Maria Torres"
1009,2026-05-11,"Servicios Pacifico SAC","Proyector HD",Tecnologia,2,2400.00,4800.00,Lima,"Ana Flores"
1010,2026-05-12,"Servicios Pacifico SAC","Proyector HD",Tecnologia,5,2400.00,12000.00,Cusco,"Ana Flores"
1011,2026-05-14,"Comercial Andina SAC","Camara Web HD",Tecnologia,8,130.00,1040.00,Chiclayo,"Lucia Mendoza"
1012,2026-05-15,"Servicios Pacifico SAC","Laptop 14''",Tecnologia,4,3200.00,12800.00,Trujillo,"Maria Torres"
1013,2026-05-16,"Import Export Lima SAC","Camara Web HD",Tecnologia,3,130.00,390.00,Piura,"Lucia Mendoza"
1014,2026-05-18,"Ferreteria Central","Camara Web HD",Tecnologia,2,130.00,260.00,Lima,"Carlos Vega"
1015,2026-05-19,"Servicios Pacifico SAC","Escritorio L",Mobiliario,7,890.00,6230.00,Cusco,"Carlos Vega"
1016,2026-05-21,"Inversiones Costa Azul","Archivador Metalico",Mobiliario,3,320.00,960.00,Cusco,"Carlos Vega"
1017,2026-05-22,"Inversiones Costa Azul","Escritorio L",Mobiliario,3,890.00,2670.00,Chiclayo,"Jose Ramirez"
1018,2026-05-23,"Servicios Pacifico SAC","Router WiFi6",Tecnologia,5,260.00,1300.00,Cusco,"Ana Flores"
1019,2026-05-25,"Grupo Sureste SA","Silla Ergonomica",Mobiliario,3,560.00,1680.00,Lima,"Maria Torres"
1020,2026-05-26,"Ferreteria Central","Mouse Inalambrico",Tecnologia,4,45.00,180.00,Chiclayo,"Lucia Mendoza"
1021,2026-05-28,"Comercial Andina SAC","Proyector HD",Tecnologia,8,2400.00,19200.00,Cusco,"Ana Flores"
1022,2026-05-29,"Textiles Del Valle","Monitor 24''",Tecnologia,1,780.00,780.00,Arequipa,"Lucia Mendoza"
1023,2026-05-30,"Servicios Pacifico SAC","Impresora Laser",Tecnologia,6,1150.00,6900.00,Piura,"Jose Ramirez"
1024,2026-06-01,"Ferreteria Central","Escritorio L",Mobiliario,1,890.00,890.00,Lima,"Lucia Mendoza"
1025,2026-06-02,"Distribuidora Norte EIRL","Camara Web HD",Tecnologia,3,130.00,390.00,Chiclayo,"Ana Flores"
1026,2026-06-04,"Inversiones Costa Azul","Camara Web HD",Tecnologia,2,130.00,260.00,Chiclayo,"Lucia Mendoza"
1027,2026-06-05,"Ferreteria Central","Archivador Metalico",Mobiliario,7,320.00,2240.00,Piura,"Jose Ramirez"
1028,2026-06-06,"Distribuidora Norte EIRL","Archivador Metalico",Mobiliario,3,320.00,960.00,Lima,"Jose Ramirez"
